case	Errors	OffsetYield	Friction	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Force_Error(%)	Slip_Error(%)	Has_Converged
1	VOID	1.866480e+02	2.544570e-01	4.399151e+04	1.866480e+02	1.866480e+02	1.866480e+02	1.866480e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.825416e+02	2.701029e-01	4.358118e+04	1.825416e+02	1.825416e+02	1.825416e+02	1.825416e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.819418e+02	2.648751e-01	4.286062e+04	1.819418e+02	1.819418e+02	1.819418e+02	1.819418e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.801761e+02	2.624837e-01	4.221022e+04	1.801761e+02	1.801761e+02	1.801761e+02	1.801761e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.783113e+02	2.587742e-01	4.156412e+04	1.783113e+02	1.783113e+02	1.783113e+02	1.783113e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.804245e+02	2.372857e-01	4.136378e+04	1.804245e+02	1.804245e+02	1.804245e+02	1.804245e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.779720e+02	2.400901e-01	4.134531e+04	1.779720e+02	1.779720e+02	1.779720e+02	1.779720e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.808158e+02	2.292310e-01	4.102242e+04	1.808158e+02	1.808158e+02	1.808158e+02	1.808158e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.811050e+02	2.240000e-01	5.169155e+04	1.811050e+02	1.811050e+02	1.811050e+02	1.811050e+02	-5.066279e-05	5.168163e-05	YES
1	VOID	1.813827e+02	2.269142e-01	4.125627e+04	1.813827e+02	1.813827e+02	1.813827e+02	1.813827e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.827575e+02	2.295662e-01	4.222696e+04	1.827575e+02	1.827575e+02	1.827575e+02	1.827575e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.794219e+02	2.432379e-01	4.285758e+04	1.794219e+02	1.794219e+02	1.794219e+02	1.794219e+02	-4.262501e-06	0.000000e+00	YES
1	VOID	1.803463e+02	2.415547e-01	4.339873e+04	1.803463e+02	1.803463e+02	1.803463e+02	1.803463e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.821212e+02	2.381060e-01	4.343134e+04	1.821212e+02	1.821212e+02	1.821212e+02	1.821212e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.805324e+02	2.445993e-01	4.242631e+04	1.805324e+02	1.805324e+02	1.805324e+02	1.805324e+02	5.529150e-06	0.000000e+00	YES
1	VOID	1.815265e+02	2.429230e-01	4.234598e+04	1.815265e+02	1.815265e+02	1.815265e+02	1.815265e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.808477e+02	2.375063e-01	4.171405e+04	1.808477e+02	1.808477e+02	1.808477e+02	1.808477e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.791688e+02	2.436704e-01	4.093050e+04	1.791688e+02	1.791688e+02	1.791688e+02	1.791688e+02	6.149283e-06	0.000000e+00	YES
1	VOID	1.799099e+02	2.400862e-01	4.137618e+04	1.799099e+02	1.799099e+02	1.799099e+02	1.799099e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.829540e+02	2.280000e-01	5.244052e+04	1.829540e+02	1.829540e+02	1.829540e+02	1.829540e+02	6.891968e-05	1.027335e-04	YES
1	VOID	1.854453e+02	2.178443e-01	4.178553e+04	1.854453e+02	1.854453e+02	1.854453e+02	1.854453e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.825041e+02	2.339028e-01	4.174291e+04	1.825041e+02	1.825041e+02	1.825041e+02	1.825041e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.860387e+02	2.283658e-01	4.213096e+04	1.860387e+02	1.860387e+02	1.860387e+02	1.860387e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.824123e+02	2.514909e-01	4.188363e+04	1.824123e+02	1.824123e+02	1.824123e+02	1.824123e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.861342e+02	2.366949e-01	4.241353e+04	1.861342e+02	1.861342e+02	1.861342e+02	1.861342e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.868442e+02	2.297993e-01	4.193386e+04	1.868442e+02	1.868442e+02	1.868442e+02	1.868442e+02	0.000000e+00	0.000000e+00	YES
